date,department,model_decision,human_decision,ground_truth,confidence_note
2023-10-01,Underwriting,Approve,Approve,Approve,"Looks completely standard, model is right on the money."
2023-10-02,Fraud,Reject,Reject,Reject,"Clear signs of synthetic identity, glad the AI caught this."
2023-10-03,Compliance,Approve,Reject,Reject,"Model missed a critical regulatory nuance here. I have to manually override."
2023-10-04,Underwriting,Approve,Approve,Approve,"Safe profile, no issues."
2023-10-05,Fraud,Reject,Approve,Reject,"I thought the AI was hallucinating, but it turns out I was wrong to override it."
2023-10-06,Underwriting,Reject,Approve,Approve,"The model's risk score is way too conservative for this demographic. Overriding."
2023-10-07,Compliance,Approve,Approve,Approve,"Verified all documents, AI extraction was perfect."
2023-10-08,Underwriting,Approve,Approve,Approve,"Good to go."
2023-10-09,Fraud,Approve,Reject,Reject,"Extremely suspicious activity pattern that the AI completely missed. Manual reject."
2023-10-10,Compliance,Reject,Reject,Reject,"Agree with the model, missing signature on form 104."
2023-10-11,Underwriting,Approve,Reject,Reject,"Not confident in the AI's assessment of their income history. Better safe than sorry."
2023-10-12,Fraud,Reject,Reject,Reject,"Textbook fraud case."
2023-10-13,Compliance,Approve,Approve,Approve,"All checks passed."
2023-10-14,Underwriting,Approve,Approve,Approve,"Looks fine."
2023-10-15,Underwriting,Reject,Approve,Approve,"I'm overriding this. The model doesn't understand this specific edge case."
2023-10-16,Fraud,Approve,Reject,Reject,"The AI is too trusting of this new account behavior. Huge red flag."
2023-10-17,Compliance,Reject,Approve,Approve,"It's a false positive on the sanctions list. I manually cleared them."
2023-10-18,Underwriting,Approve,Approve,Approve,"Routine approval."
2023-10-19,Fraud,Reject,Reject,Reject,"Excellent catch by the model."
2023-10-20,Compliance,Approve,Approve,Approve,"No compliance issues found."
2023-10-21,Underwriting,Approve,Reject,Reject,"I'm doubting the model here. The documents look forged to me."
2023-10-22,Fraud,Reject,Approve,Reject,"AI said reject but I felt bad for them. Oops, ground truth shows it was actually fraud."
2023-10-23,Underwriting,Approve,Approve,Approve,"Standard."
2023-10-24,Compliance,Reject,Reject,Reject,"Failed KYC."
2023-10-25,Underwriting,Reject,Approve,Approve,"Model is heavily biased against this zip code. Overriding for fairness."
